Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Caleb Davis,,,2014,South Carolina State,WR,5.92,185,0,0,4.42,1.53,4.44,7.48,18,36.5,10.3,109.5,106.3,0.1,-0.1
Jeremy Butler,,,2014,Tennessee Martin,WR,6.13,224,32,9.5,4.6,1.6,4.28,7.19,15,36,9.5,114.4,106.3,0.5,-0.1
Ryan White,,,2014,Auburn,CB,5.85,194,31.13,9.25,4.51,1.63,4.3,7.05,13,34,10.42,104.6,109,-0.3,-0.1
Dontavis Sapp,,,2014,Tennessee,OB,6.2,234,32.5,9.13,4.66,1.7,4.39,7.08,25,30,9.83,110.5,109.6,0,-0.2
Enrique Williams,,,2014,South Alabama,OB,6.02,232,0,0,4.8,1.72,4.48,7,24,36.5,9.75,110.5,109.6,0,-0.2
Matt Feiler,,,2014,Bloomsburg,OT,6.48,330,32,9.5,5.37,1.88,4.86,8.13,36,26.5,8.58,97.2,89.1,0.5,-0.2
Darwin Rogers,,,2014,Arizona State,TE,6.19,255,0,0,4.9,1.71,4.43,7.13,23,30,9.5,102.1,102.8,-0.2,-0.2
Devon Carrington,,,2014,Stanford,DS,6.03,194,31.13,9,4.65,1.59,4.36,6.91,15,36.5,10.33,103.2,109,-0.6,-0.2
DaQuan Jones,,,2014,Penn State,DT,6.29,322,33.5,9.63,5.35,1.85,4.65,7.73,25,25.5,8.42,87.6,84.4,-0.5,-0.2
Andrew Pierce,,,2014,Delaware,RB,5.85,200,0,0,4.68,1.58,4.22,6.66,23,33,9.67,111.7,111.2,-0.1,-0.2
Eric Knowlton,,,2014,Lane College,RB,5.51,160,0,0,4.38,1.51,4.25,6.95,1,34.5,10.33,89.7,111.2,-1.6,-0.2
Cameron Fuller,,,2014,New Mexico State,CB,5.86,178,0,0,4.53,1.65,4.3,6.79,11,37,10.42,102.6,108.9,-0.5,-0.2
Cameron Truss,,,2014,Bowling Green,CB,5.81,184,31,9,4.62,1.59,4.3,7.12,10,37.5,10.5,100.4,108.9,-0.7,-0.2
Gavin Ellis,,,2014,Jacksonville State,TE,6.53,261,34,10.13,4.9,1.68,4.48,7.02,20,33,8.75,104,102.7,-0.1,-0.2
Chris Floyd,,,2014,Lindenwood,DT,6.13,295,0,0,5.31,1.77,4.32,7.68,31,29,8.08,106.8,93.3,0.5,-0.2
Willie Mobley,,,2014,New Mexico State,DT,6.08,276,0,0,5.07,1.77,4.86,7.43,20,32,9,89,93.3,-0.6,-0.2
Anthony Saunders,,,2014,Slippery Rock,CB,5.79,185,0,0,4.48,1.55,4.16,7.21,11,36,9.83,109.8,108.8,0.1,-0.2
Bene Benwikere,,,2014,San Jose State,CB,5.88,195,30,9.13,4.63,1.65,4.38,6.94,10,40.5,10.17,103.9,108.8,-0.4,-0.2
Tommy Parsons,,,2014,Texas A&M Kingsville,OG,6.37,287,32,9.5,5.21,1.84,4.76,7.78,21,31.5,8.75,88.7,87.6,-0.1,-0.2
Luther Robinson,,,2014,Miami (FL),DT,6.23,299,0,0,5.04,1.79,4.64,7.75,30,28.5,8.42,103.2,93.2,0.3,-0.2
Cornelius Lucas,,,2014,Kansas State,OT,6.69,318,36.75,10,5.34,1.83,4.94,7.94,26,27.5,8.42,88.2,88.7,-0.1,-0.2
Cyrus Kouandijio,44,BUF,2014,Alabama,OT,6.55,322,35.63,10.25,5.46,1.91,4.85,7.71,22,31,8.83,87.5,88.7,-0.1,-0.2
Chris Parks,,,2014,SMU,CB,6.04,182,32.38,8.75,4.51,1.6,4.29,6.76,11,35,10.25,101.6,108.6,-0.6,-0.2
Parker Graham,,,2014,Oklahoma State,OG,6.54,308,31.25,9,5.34,1.88,4.78,7.93,29,30.5,8.5,95.1,87.4,0.4,-0.2
Darian Yahyavi,,,2014,Murray State,DS,6.02,190,0,0,4.64,1.63,4.04,7.07,13,35.5,10,110.5,108.5,-0.1,-0.2
Joe Reynolds,,,2014,Michigan,WR,6.01,192,0,0,4.76,1.68,4.24,6.76,14,37.5,10.4,103.3,105.8,-0.4,-0.2
Sullivan Grosz,,,2014,Cal Poly,DE,6.25,295,0,0,5.03,1.72,4.57,7.37,24,31.5,9,105.1,107.5,-0.3,-0.2
Ryan Hewitt,,,2014,Stanford,FB,6.34,246,32,9.25,4.87,1.65,4.35,7.04,17,33,9.08,102.7,99.7,-0.4,-0.2
Chris Watt,89,SDC,2014,Notre Dame,OG,6.23,313,32.75,9.5,5.05,1.89,4.76,7.67,29,28.5,8.67,104,87.3,1.1,-0.2
Anthony Jones,,,2014,Arizona State,DS,5.98,218,0,0,4.65,1.62,4.35,7.06,14,34.5,10.17,104.9,108.4,-0.5,-0.2
Terrance West,94,CLE,2015,Towson,RB,5.77,225,31,9.13,4.54,1.63,4.44,7.28,16,33.5,10,107.6,110.6,-0.4,-0.2
Jaleel Clark,,,2014,Missouri,WR,6.28,218,0,0,4.64,1.57,4.32,6.93,11,32,10.1,99.3,105.7,-0.7,-0.2
T.J. Jones,,,2014,Notre Dame,WR,5.97,188,30.63,10,4.48,1.54,4.27,6.82,13,33,9.9,103.8,105.7,-0.3,-0.2
Emanuel Dieke,,,2014,Georgia Tech,DE,6.44,261,0,0,4.81,1.61,4.7,7.45,22,31,9.42,98.8,107.4,-0.7,-0.2
Justin McCray,,,2014,Central Florida,OG,6.26,321,32,9.75,5.49,1.84,4.78,7.87,32,25.5,8.25,86.3,87.2,-0.3,-0.2
Joe Hawkins,,,2014,Norfolk State,TE,6.23,254,0,0,4.91,1.62,4.87,7.42,21,33.5,9.58,93.4,102,-0.7,-0.2
Michael McLafferty,,,2014,Monmouth (NJ),TE,6.34,252,0,0,4.79,1.58,4.36,7.16,17,28,9.08,98.7,102,-0.4,-0.2
Brandon Parson,,,2014,Northern Michigan,DS,5.94,183,0,0,4.52,1.63,4.37,7.3,16,36.5,10.67,106.1,108.3,-0.4,-0.2
Travis Crosby,,,2014,North Carolina AT,DS,5.76,192,0,0,4.55,1.59,4.41,7.45,17,36.5,10.58,106.7,108.3,-0.4,-0.2
Tregg Waters,,,2014,Indiana,DS,5.97,191,30,8,4.52,1.52,4.18,6.99,18,33.5,9.67,112.7,108.3,0.1,-0.2
Chris Fields,,,2014,Ohio State,WR,5.96,198,31,8.88,4.58,1.69,4.26,7.03,14,34.5,10.4,106.4,105.6,-0.1,-0.2
Isaiah Burse,,,2014,Fresno State,WR,5.83,188,30.25,8.38,4.57,1.59,3.94,6.74,16,31.5,9.6,112.8,105.6,0.4,-0.2
Christian Jones,,,2014,Florida State,OB,6.26,240,33.5,9.63,4.74,1.7,4.38,7.03,17,33.5,9.58,106.5,108.7,-0.2,-0.2
Darien Johnson,,,2014,New Mexico State,CB,5.68,181,0,0,4.42,1.62,4.2,7.69,17,38,10.08,119.2,108.3,0.9,-0.2
Edward Burns,,,2014,Elon,CB,5.76,176,0,0,4.61,1.62,4.23,6.95,15,36.5,10.42,105.2,108.3,-0.3,-0.2
Jonathan Newsome,,,2014,Ball State,OB,6.21,247,33.25,9.63,4.73,1.64,4.63,7.31,21,34,9.75,102.9,107.2,-0.4,-0.2
Tariq Edwards,,,2014,Virginia Tech,OB,6.18,235,31.88,10.38,4.76,1.65,4.49,7.18,20,32,10,100.9,108.6,-0.6,-0.2
Germard Reed,,,2014,UTEP,DT,6.01,264,0,0,4.97,1.76,4.75,7.78,25,31,9.08,95.5,92.6,-0.2,-0.2
Willie Snead,,,2015,Ball State,WR,5.92,197,33,10.25,4.56,1.49,4.38,7.18,11,36,9.9,101.5,105.4,-0.5,-0.2
Anthony Baskin,,,2014,Carson Newman,DS,5.93,199,0,0,4.57,1.69,4.37,6.96,12,38.5,10.17,106.9,108,-0.4,-0.2
Jaz Reynolds,,,2014,Oklahoma,WR,6.18,201,31.88,9.5,4.57,1.65,4.32,7.13,9,35,10.4,100.6,105.3,-0.6,-0.2
Brent Qvale,,,2014,Nebraska,OT,6.5,318,33.75,9.25,5.2,1.87,4.86,7.4,24,29,8.25,95,88,0.4,-0.2
Mitchell Van Dyk,,,2014,Portland State,OT,6.58,313,35.5,10,5.12,1.83,4.88,7.47,14,27,8.58,83.4,88,-0.4,-0.2
Chris McAllister,,,2014,Baylor,DE,6.13,255,32.38,9.5,4.77,1.65,4.54,7.43,28,32.5,9.5,112.3,106.8,0.1,-0.2
Jeremiah Tofaeono,,,2014,Utah,OG,6.19,320,33,10.88,5.5,1.86,4.91,7.97,34,25,8.58,84.9,86.7,-0.4,-0.2
Lawrence Martin,,,2014,South Florida,OT,6.26,318,32.5,9.75,5.29,1.78,4.95,8.62,27,25.5,8.17,87.4,87.9,-0.1,-0.2
Calvin Pryor,18,NYJ,2014,Louisville,DS,5.93,211,31.38,9.13,4.58,1.58,4.3,6.98,18,34.5,9.67,112.3,107.8,0,-0.2
John Schademan,,,2014,Slippery Rock,WR,5.92,188,31,8.75,4.49,1.57,4.35,7.15,9,38,9.9,103.8,105.1,-0.3,-0.2
Aldreakis Allen,,,2014,Liberty,RB,5.96,222,0,0,4.65,1.62,4.52,7.35,22,36.5,10,110.5,109.8,-0.2,-0.2
Matt Calcagnini,,,2014,South Alabama,OC,5.97,286,0,0,5.15,1.84,4.6,7.9,28,26.5,8.25,91.9,80.9,0.3,-0.2
Randall Harris,,,2014,Towson,OG,6.25,296,0,0,5.24,1.76,4.86,7.75,25,23.5,8.5,79.7,86.5,-0.8,-0.2
Bryant Lavender,,,2014,South Alabama,WR,5.89,183,0,9.25,4.45,1.62,4.41,6.92,4,41,9.8,100.1,105,-0.6,-0.2
Rantavious Wooten,,,2014,Georgia,WR,5.76,178,29.63,9.13,4.53,1.63,4.1,7.01,12,36.5,9.8,110.3,105,0.2,-0.2
Sean Fitzgerald,,,2014,Utah,WR,6.19,201,32,9,4.63,1.62,4.37,6.95,15,35,10.3,102.9,105,-0.4,-0.2
Dillon Quinn,,,2014,C.W. Post,DE,6.52,280,33.5,0,5.03,1.72,4.5,7.45,30,30.5,9.25,107.3,106.4,-0.2,-0.3
Michael Cole,,,2014,Maine,OB,6.12,243,0,0,4.8,1.67,4.35,7.04,24,29.5,9.58,106.4,106.4,-0.2,-0.3
Darien Robinson,,,2014,Citadel,RB,5.94,222,30.75,9.13,4.4,1.53,4.52,7.36,16,32.5,9.75,106.9,109.7,-0.4,-0.3
Edmond Davis,,,2014,Alabama State,OG,6.01,290,32,10.38,5.38,1.71,4.81,8.22,21,26,7.67,74.6,86.4,-1.2,-0.3
Justin Robinson,,,2014,Alabama State,HB,6.12,244,0,0,4.93,1.64,4.54,7.5,21,32,10,94.7,98.7,-1,-0.3
Jordan McNair,,,2014,Valdosta State,WR,6.18,192,0,0,4.63,1.57,4.28,6.84,13,33,10.3,98.9,104.9,-0.7,-0.3
Hasean Clinton-Dix,21,GBP,2015,Alabama,DS,6.11,208,32.38,9,4.58,1.6,4.16,7.16,11,33,9.92,106.8,107.5,-0.4,-0.3
Jerry Gates,,,2014,Bowling Green,DS,5.92,203,31.5,9.25,4.55,1.6,4.16,7.05,27,35,9.25,127.2,107.5,1.2,-0.3
Aaron Lynch,,,2014,South Florida,DE,6.42,252,34,10.25,4.69,1.52,4.61,7.46,18,29,9.75,95.3,106.3,-0.9,-0.3
Anthony Wilkerson,,,2014,Stanford,RB,5.86,216,31.75,10,4.69,1.64,4.4,7.18,24,37.5,9.67,116.4,109.6,0.2,-0.3
Colby Goodwyn,,,2014,Old Dominion,RB,5.77,209,28.63,9.75,4.58,1.65,4.17,6.93,24,30.5,9.67,116.4,109.6,0.2,-0.3
Kaneakua Friel,,,2014,BYU,TE,6.36,254,33.38,9.88,4.84,1.72,4.58,7.7,21,33.5,10,101.8,101,-0.2,-0.3
Brandon Thomas,100,SFO,2014,Clemson,OT,6.27,317,34.75,10.5,5.09,1.88,4.75,7.83,35,29,8.25,109.8,87.5,1.4,-0.3
DeAndre Coleman,,,2014,California,DT,6.38,314,34.38,10.25,5.06,1.73,5.1,7.71,24,25.5,8.58,90.1,91.9,-0.5,-0.3
Tim Erjavec,,,2014,Kent State,FB,6.1,243,30.75,9,4.73,1.72,4.56,7.21,22,30.5,9.75,100.4,98.6,-0.5,-0.3
Brandon Parson,,,2014,Northern Michigan,DS,5.94,183,0,0,4.52,1.63,4.37,7.3,13,36.5,10.67,102.8,107.6,-0.5,-0.3
Keivon Gamble,,,2014,TCU,CB,5.8,180,0,0,4.56,1.59,4.15,6.87,13,35,10,106.5,107.6,-0.2,-0.3
Tre Watson,,,2014,Washington,CB,5.78,192,0,0,4.71,1.65,4,6.82,9,34.5,10.08,103.6,107.6,-0.4,-0.3
Chris Poston,,,2014,Emporia State,DS,6,193,0,0,4.69,1.54,4.25,7,16,37,9.83,107.4,107.4,-0.3,-0.3
Ed Reynolds,,,2015,Stanford,DS,6.08,207,30.75,8.5,4.51,1.55,4.49,7.18,15,38,9.75,108.5,107.4,-0.2,-0.3
Chris McCain,,,2015,California,OB,6.44,224,34.25,11,4.67,1.69,4.51,7.04,10,32,10.08,91.1,106.1,-1.1,-0.3
Demetrius Wright,,,2014,USC,DS,6,203,31.75,8.75,4.5,1.55,4.37,7.26,20,34,9.92,111.9,107.3,0,-0.3
Jamal Clay,,,2014,Maine,DS,5.76,186,0,0,4.55,1.57,4.4,6.97,15,34.5,10.42,100.4,107.3,-0.9,-0.3
Steven Forgette,,,2014,Eastern Washington,OG,6.27,297,0,0,5.36,1.85,5.11,8.43,21,33,8.58,84.6,86.1,-0.4,-0.3
Malcolm Bush,,,2014,Delaware,TE,6.3,260,0,0,4.93,1.68,4.57,7.4,24,32,9.42,101.1,100.7,-0.3,-0.3
Jayrone Elliot,,,2014,Toledo,OB,6.25,255,33.75,10.63,4.75,1.6,4.4,7.26,18,31,9.17,106.1,105.9,-0.2,-0.3
Marcus Martin,70,SFO,2014,USC,OC,6.28,320,34,10,5.22,1.81,4.93,8.04,23,22.5,8,81.7,80.4,-0.5,-0.3
Josh Aladenoye,,,2014,Illinois State,OT,6.43,324,0,0,5.25,1.78,5.06,7.82,24,28,7.58,90.8,87.2,0.1,-0.3
John Hardy-Tuliau,,,2014,Hawaii,DS,5.95,182,0,0,4.54,1.58,4.13,6.63,7,35.5,9.67,102.4,107.1,-0.7,-0.3
Derrick Rainey,,,2014,Arizona,CB,6.03,191,0,0,4.57,1.55,4.31,6.98,9,35.5,10.08,99.4,107.3,-0.8,-0.3
Jamal Clay,,,2014,Maine,CB,5.76,186,0,0,4.55,1.57,4.4,6.97,15,34.5,10.42,100.4,107.3,-0.7,-0.3
Adhem Elsawi,,,2014,East Carolina,OT,6.37,307,0,0,5.37,1.78,5.12,7.98,22,25,8.58,75.3,87.1,-1,-0.3
Zach Orr,,,2014,North Texas,IB,5.98,237,0,0,4.73,1.7,4.41,7.26,14,33,9.67,101.1,105.4,-0.7,-0.3
Connor Williams,,,2014,Utah State,DE,6.19,267,0,0,4.9,1.69,4.53,7.47,26,31.5,9,107.6,105.7,-0.1,-0.3
Jon Greenwalt,,,2014,Louisiana Tech,WR,6.2,211,0,0,4.59,1.6,4.21,6.91,16,34,9.4,112.3,104.4,0.3,-0.3
Andre Hal,,,2014,Vanderbilt,CB,5.86,188,30.5,8.63,4.5,1.57,4.27,7.14,15,35.5,9.92,109.3,107.2,0,-0.3
Morgan Moses,66,WAS,2014,Virginia,OT,6.5,314,35.38,9.88,5.2,1.86,4.95,7.93,25,26,8.92,88.8,87,-0.1,-0.3
Kevin Perry,,,2014,UTEP,TE,6.34,261,0,0,4.78,1.68,4.98,7.56,16,32,9.67,92.5,100.4,-0.8,-0.3
Isame Faciane,,,2014,Florida International,DT,6.3,300,0,0,5.28,1.86,4.72,7.56,19,29,9.42,84.5,91.4,-0.9,-0.3
Parker Orms,,,2014,Colorado,DS,5.84,190,30.63,8.75,4.52,1.56,4.25,6.8,7,32,10.17,95.4,106.9,-1.2,-0.3
Zach Bauman,,,2014,Northern Arizona,RB,5.6,194,29.25,8.88,4.5,1.5,4.12,6.92,13,34,9,111.6,109,-0.1,-0.3
Chris Schaudt,,,2014,Minnesota Mankato,DE,6.23,265,33,10.5,4.83,1.68,4.65,7.18,20,30,9.33,96.1,105.5,-0.8,-0.3
Colin Lockett,,,2014,San Diego State,WR,5.93,188,30.5,8.5,4.46,1.58,4.13,6.83,13,32.5,9.6,108.7,104.3,0,-0.3
Robert Thomas,,,2014,Arkansas,DT,6.1,327,33.88,10,5.31,1.84,5.07,8.05,37,25.5,8,95.4,82.9,0.3,-0.3
Shayon Green,,,2014,Miami (FL),OB,6.11,255,31.38,9.25,4.62,1.64,4.47,7.49,34,29.5,9.08,121.4,105.4,0.7,-0.3
Donald Hawkins,,,2014,Texas,OT,6.34,295,32.75,10.13,5.55,1.84,4.88,8,20,32,8.5,77,86.8,-0.9,-0.3
Jordan Evans,,,2014,Brown,WR,5.88,188,0,0,4.53,1.64,4.29,7.03,13,36,10.1,106,104.2,-0.2,-0.3
James White,,,2014,Wisconsin,RB,5.76,204,29.25,8.25,4.57,1.6,4.2,7.05,23,32,9.5,116,108.8,0.2,-0.3
Dallas Bollema,,,2014,New Mexico,OB,6.08,234,0,0,4.72,1.65,4.27,7.23,19,33.5,9.17,112.6,106.8,0.2,-0.3
Zach Fulton,,,2014,Tennessee,OG,6.38,316,33.25,10.25,5.16,1.81,4.78,7.87,25,24.5,8.17,89.8,85.5,0,-0.3
Xavier Melton,,,2014,Troy,DT,6.19,309,32.25,10.13,5.14,1.79,4.9,7.82,35,28.5,8.25,103.1,91.1,0.3,-0.3
Tre Porter,,,2014,Texas Tech,DS,5.95,208,30.38,8.38,4.47,1.57,4.25,6.74,14,35,9.08,114.1,106.6,0.2,-0.3
Shakir Bell,,,2014,Indiana State,RB,5.45,185,29.63,9.25,4.59,1.59,4.39,7.07,13,37,10.08,100.7,108.7,-0.9,-0.3
Silas Redd,,,2014,USC,RB,5.8,212,30.25,9,4.7,1.64,4.45,7.34,18,37,10.17,105.8,108.7,-0.5,-0.3
Brent Singleton,,,2014,Norfolk State,OB,6.02,228,0,0,4.72,1.66,4.38,7.46,21,35,9.5,111.4,106.7,0.1,-0.3
Aaron Hill,,,2014,Minnesota,OB,6.05,231,32,10,4.73,1.69,4.3,7.06,21,32,9.42,109.9,106.6,0,-0.3
David Christmas,,,2014,West Texas A&M,OB,5.94,240,0,0,4.78,1.6,4.59,7.25,18,31.5,10,94.2,106.6,-1,-0.3
Ben Gottschalk,,,2014,SMU,OT,6.31,299,32.75,10.13,5.3,1.88,4.94,7.79,26,29.5,9,88.3,86.5,-0.1,-0.3
Jamal Ellis,,,2014,Newberry,OG,6.29,324,0,0,5.2,1.84,4.96,7.91,26,24,8.5,88.3,85.3,-0.1,-0.3
Reese Wiggins,,,2014,East Carolina,WR,5.81,182,0,0,4.44,1.48,4.39,7.52,10,36.5,10.1,101.5,103.9,-0.5,-0.3
Donald Coleman,,,2014,Eastern Michigan,DS,5.84,205,0,0,4.61,1.56,4.42,6.84,18,37.5,9.5,109.7,106.4,-0.1,-0.3
Andrew Aho,,,2014,New Mexico,FB,6.09,218,0,0,4.66,1.7,4.43,7.19,20,34,9.17,106.9,97.5,-0.1,-0.3
Jordan Love,,,2014,Towson,CB,5.89,189,31.5,8.75,4.59,1.59,4.29,6.79,13,36,9.92,104,106.7,-0.4,-0.3
Lawrence Haynes,,,2014,Benedictine (KS),CB,6.05,176,33,10,4.54,1.59,4.33,7.26,13,36,10.58,101.2,106.7,-0.6,-0.3
Charlie Davidson,,,2014,Wayne State (NE),RB,5.92,205,29.25,9.5,4.67,1.62,4.37,7.03,21,38.5,9.42,114.1,108.4,0.1,-0.3
Thomas Hankerson,,,2015,Friends (KS),RB,5.46,164,27.63,8.75,4.52,1.55,4.46,7.08,18,36.5,10.42,99.8,108.4,-0.9,-0.3
Davon Coleman,,,2014,Arizona State,DT,6.05,286,31.25,8.88,5.2,1.73,4.66,7.48,35,27.5,8.5,95.3,90.8,-0.2,-0.3
Nnamdi Obukwelu,,,2014,Harvard,DE,6.11,295,32,9.5,5.01,1.73,4.71,7.54,33,31.5,8.92,109.7,104.8,0,-0.3
Greg Moore,,,2014,Lane College,WR,6.25,197,0,0,4.57,1.57,4.28,6.64,3,34,9.8,92.7,103.8,-1.2,-0.3
Bashaud Breeland,,,2015,Clemson,CB,5.95,197,31.75,9,4.57,1.61,4.33,7.03,11,34.5,10.25,100.8,106.6,-0.7,-0.3
Darion Howard,,,2014,Florida Atlantic,TE,6.25,244,32.63,9.38,4.71,1.61,4.5,7.56,22,30.5,9.33,103.9,99.6,-0.1,-0.3
Alex Bienemann,,,2014,Montana,FB,6.05,271,0,0,4.97,1.71,4.43,7.28,20,31.5,9.08,103.8,97.3,-0.3,-0.3
Jesse Vaughn,,,2014,Evangel (MO),WR,5.78,182,29.75,9,4.56,1.65,4.37,6.91,22,35.5,10.3,109.2,103.7,0.1,-0.3
Kasey Carrier,,,2014,New Mexico,RB,5.6,187,0,0,4.54,1.61,4.29,7.08,18,37.5,9.5,113.2,108.2,0,-0.4
Marcus Center,,,2014,Norfolk State,CB,5.85,190,0,0,4.55,1.59,4.33,7.14,14,35.5,10.17,104.5,106.5,-0.4,-0.4
Shayne Skov,,,2014,Stanford,IB,6.19,245,30.63,10,4.84,1.71,4.29,7.33,28,32,9.33,115.8,104.5,0.5,-0.4
James Dunbar,,,2014,TCU,OT,6.43,311,0,0,5.05,1.83,4.8,7.92,25,25,8.58,93.1,86.1,0.2,-0.4
Richard Wilson,,,2014,BYU,TE,6.23,250,0,0,4.82,1.72,4.35,7.45,24,31.5,9.33,110.5,99.4,0.4,-0.4
Jordan Sullen,,,2014,Tulane,DS,5.87,201,0,0,4.6,1.67,4.3,6.66,11,32,10.33,97.7,106,-1.1,-0.4
Tramaine Thompson,,,2014,Kansas State,WR,5.61,168,29.75,8.75,4.43,1.56,4.27,6.92,13,35.5,9.9,104.5,103.5,-0.3,-0.4
Kadeem Edwards,,,2014,Tennessee State,OG,6.35,313,35.5,9.5,5.25,1.87,4.82,7.95,26,29,8.25,94.1,84.8,0.4,-0.4
Demonte McAllister,,,2014,Florida State,DT,6.18,295,32.63,9,5.13,1.74,4.84,7.61,16,29.5,8.58,85,90.4,-0.9,-0.4
Shaquil Barrett,,,2014,Colorado State,OB,6.11,251,32.25,9.25,4.73,1.68,4.42,6.9,16,29,9.42,99.1,104.3,-0.6,-0.4
Vaness Harris,,,2014,San Diego State,IB,6.07,257,0,0,4.68,1.61,4.63,7.07,27,29,9.25,105.5,104.3,-0.4,-0.4
Jeff Godfrey,,,2014,Central Florida,WR,5.86,185,30.63,8.38,4.57,1.61,4.26,7.02,12,36,10,104,103.4,-0.3,-0.4
Daniel McCullers,,,2014,Tennessee,DT,6.55,352,36.63,11,5.3,1.92,5.09,7.99,27,23,8.25,88.6,82.2,-0.4,-0.4
Lavelle Westbrooks,,,2014,Georgia Southern,CB,5.96,186,32.38,9.88,4.63,1.62,4.27,6.98,20,36,10.08,110,106.2,0.1,-0.4
Jerome Smith,,,2014,Syracuse,RB,5.93,220,30.88,9.75,4.73,1.58,4.6,7.27,17,36,10.25,97.6,107.8,-1.1,-0.4
James Johnson,,,2014,Washington,WR,6.03,194,0,0,4.78,1.68,4.31,7.07,16,36.5,10.7,101.1,103.3,-0.6,-0.4
E.J. Dunston,,,2014,Central Florida,DT,6.08,307,31.88,0,5.44,1.75,4.68,7.6,28,29,8.75,88.7,90.2,-0.6,-0.4
Ross Madison,,,2014,Toledo,DS,5.93,197,0,0,4.53,1.6,4.24,7.26,10,33,10.17,102,105.7,-0.7,-0.4
Joel Murphy,,,2013,Baker (KS),TE,6.58,251,0,0,4.86,1.69,4.47,7.36,11,30.5,9.75,89.6,99,-1,-0.4
Vladimir Emilien,,,2014,Toledo,OB,6.02,215,0,0,4.73,1.69,4.41,7.5,18,34,10.08,102.2,105.7,-0.5,-0.4
Brian Owusu,,,2014,Harvard,CB,5.85,183,29,8.38,4.59,1.58,4.4,6.74,15,38,9.92,103.5,106.1,-0.4,-0.4
Lamarcus Joyner,41,STL,2014,Florida State,CB,5.67,184,31.5,9.25,4.55,1.59,4.4,7.26,14,37.5,10.33,103.4,106.1,-0.4,-0.4
Andrew Peacock,,,2014,Appalachian State,WR,5.77,192,29.63,9.63,4.72,1.63,4.33,7,17,38,10.1,105.5,103.2,-0.2,-0.4
Cyril Richardson,,,2014,Baylor,OG,6.38,329,34.63,9.5,5.23,1.82,4.83,7.7,30,25.5,7.58,96.1,84.5,0.5,-0.4
Andrew Huhman,,,2014,Missouri Valley,OB,6.02,236,31.38,9.25,4.77,1.68,4.31,7.31,17,34.5,9.33,108.8,105.6,-0.1,-0.4
Jordan Sullen,,,2014,Tulane,DS,5.87,201,0,0,4.6,1.67,4.3,6.66,11,32,10.33,97.7,106,-0.9,-0.4
Jeken Frye,,,2014,Tarleton State,WR,5.8,177,0,0,4.57,1.59,4.41,6.99,13,36.5,10.4,98,103.1,-0.8,-0.4
Quade Chappuis,,,2014,Utah,DS,5.88,198,0,0,4.51,1.66,4.17,7.16,15,33,9.92,111,105.5,0,-0.4
Craig Wenrick,,,2014,UTEP,TE,6.35,257,0,0,4.84,1.75,4.45,7.43,20,32,9.42,104.8,98.7,0,-0.4
Taylor Mack,,,2014,Connecticut,CB,5.73,171,29.5,8.75,4.59,1.56,4.04,6.81,9,35.5,9.75,103.3,105.9,-0.5,-0.4
IK Enemkpali,,,2014,Louisiana Tech,OB,6.05,261,33.13,9.75,4.86,1.67,4.65,7.67,28,36,9.42,111.3,103.7,0.1,-0.4
Kelvin Benjamin,28,CAR,2016,Florida State,WR,6.42,242,34.88,10.25,4.61,1.67,4.39,7.33,13,33,9.9,106.5,103,-0.1,-0.4
Avery Cunningham,,,2014,Central Michigan,DS,5.94,200,31,9,4.52,1.62,4.39,7.08,12,32,10.42,98.1,105.4,-1,-0.4
Stephen Obeng-Agyapong,,,2014,Penn State,DS,5.86,210,32.13,8.63,4.57,1.66,4.33,6.95,17,33.5,9.92,108.6,105.4,-0.2,-0.4
Davonte Wallace,,,2014,New Mexico State,OT,6.26,308,33.88,9.88,5.3,1.82,5.07,8.31,27,26.5,8.5,85.1,85.4,-0.3,-0.4
Jeremy Reierson,,,2014,Minnesota Duluth,TE,6.48,256,32.5,10.38,4.88,1.72,4.55,7.43,19,33.5,9.33,100.1,98.6,-0.3,-0.4
Ciante Evans,,,2014,Nebraska,CB,5.79,193,31.25,8.75,4.59,1.6,4.13,6.65,8,32.5,9.83,99.7,105.8,-0.7,-0.4
Shamar Stephen,,,2014,Connecticut,DT,6.39,309,33.13,10,5.25,1.83,4.89,7.81,25,30.5,8.58,94.1,89.8,-0.3,-0.4
James Sims,,,2014,Kansas,RB,5.84,207,30.25,9.25,4.59,1.57,4.22,7.21,16,32.5,9.5,108.5,107.3,-0.3,-0.4
Vintavious Cooper,,,2014,East Carolina,RB,5.63,190,0,0,4.4,1.53,4.12,6.8,14,29,9.33,106.7,107.3,-0.4,-0.4
Jordan Dixon,,,2014,Shepherd,OG,6.27,303,32.88,9.63,5.47,1.87,4.62,7.75,27,26,8.58,82.3,84.1,-0.6,-0.4
Luke Bowanko,,,2014,Virginia,OG,6.43,302,33.5,9.5,5.25,1.85,4.75,7.53,26,27,8.25,88.7,84.1,-0.1,-0.4
Corey Brown,,,2014,Ohio State,WR,5.95,178,31.75,9.38,4.51,1.59,4.22,7.16,13,33,10.3,102.1,102.8,-0.5,-0.4
Denzell Jones,,,2014,Central Connecticut,WR,6.44,225,0,0,4.74,1.59,4.43,6.99,13,34,10,98,102.8,-0.8,-0.4
