Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Demetri Goodson,,,2014,Baylor,CB,5.92,194,31.75,9.25,4.52,1.62,4.34,6.8,11,37,10.25,105.4,111.5,-0.3,0.1
Leevon Perry,,,2014,North Dakota State,DT,6.27,281,0,0,4.95,1.7,4.7,7.63,20,28,8.92,92.2,96.4,-0.4,0.1
Richard Rodgers,98,GBP,2014,California,TE,6.33,257,32.63,10.13,4.82,1.69,4.47,7.23,16,31.5,9.67,99.9,106.2,-0.3,0.1
Doug Rigg,,,2014,West Virginia,OB,6.02,237,0,0,4.81,1.67,4.51,7.47,20,36.5,10.33,105.6,113,-0.3,0.1
Jeremy Stephens,,,2014,Butler,OB,5.97,235,0,0,4.83,1.59,4.37,7.1,19,34.5,9.75,105.9,113,-0.3,0.1
Kyler Elsworth,,,2014,Michigan State,OB,6.05,236,30.5,9.75,4.75,1.71,4.45,7.24,29,34,10.08,115.6,113,0.4,0.1
Ryan Lankford,,,2014,Illinois,WR,5.96,163,30.13,8.5,4.4,1.55,4.19,6.77,13,32.5,10.6,102.3,108.9,-0.5,0
Kasim Edebali,,,2014,Boston College,DE,6.17,253,32.75,9.5,4.79,1.7,4.35,7.2,19,34.5,9.58,112.7,111.8,0.2,0
Asante Cleveland,,,2014,Miami (FL),TE,6.38,261,34,10.25,4.88,1.71,4.45,7.33,20,32.5,9.67,105.3,106.1,0,0
Reggie Jordan,,,2014,Missouri Western,TE,6.24,240,32.25,9.63,4.77,1.68,4.3,7.22,24,30,9.67,109.9,106.1,0.3,0
Jarek Lancaster,,,2014,Stanford,OB,6.05,232,31.38,8.5,4.77,1.62,4.34,7.11,25,35,9.5,116.2,112.9,0.4,0
Shamari Benton,,,2014,Central Michigan,OB,5.95,231,0,9.25,4.64,1.64,4.5,7.12,34,34,9.58,121.2,112.9,0.7,0
Anthony Steen,,,2014,Alabama,OG,6.28,314,30.5,9.13,5.33,1.85,4.71,7.95,37,25,8.83,94.5,90.7,0.4,0
Curtis Porter,,,2014,Miami (FL),DT,6.05,315,31.75,9.5,5.25,1.89,4.75,7.85,30,28,8.33,97.3,86.4,0.5,0
Trey Millard,,,2014,Oklahoma,FB,6.19,247,31.13,9,4.65,1.64,4.54,7.31,28,32,9.33,113.8,103.3,0.4,0
Justin Anderson,,,2014,Massachusetts,DE,6.35,281,0,0,4.94,1.67,4.59,7.59,30,30,9.67,109,111.7,-0.1,0
Charles Ross,,,2014,Rice,RB,6.03,223,0,0,4.54,1.57,4.48,7.24,17,34,10.17,107.4,114.2,-0.4,0
Dominique Williams,,,2014,Wagner,RB,5.72,205,0,0,4.65,1.63,4.26,6.72,19,34.5,10,110.9,114.2,-0.1,0
Adonis Armstrong,,,2014,East Carolina,CB,5.71,182,0,0,4.66,1.49,4.46,7.03,18,38.5,10.58,102.1,111.3,-0.6,0
Dillon Farrell,,,2014,New Mexico,OC,6.38,303,34.13,9.63,5.06,1.85,4.56,7.81,26,30,7.75,106,85.2,1.3,0
Darrin Kitchens,,,2014,Florida,OB,6.17,230,31.25,10.25,4.59,1.61,4.38,7.28,18,33,9.67,110.6,112.6,0,0
Dozie Ezemma,,,2014,West Virginia,OB,6.12,234,0,0,4.75,1.6,4.47,7.67,21,32.5,10.42,103.8,112.6,-0.4,0
Anthony Goodwin,,,2014,Montana,CB,5.94,181,31.75,9,4.63,1.62,4.23,6.56,13,37,10.33,104.3,111.2,-0.4,0
Kyle Harbridge,,,2014,St. Francis (Pa),RB,5.78,204,30.25,8.88,4.52,1.59,4.25,7.23,22,33,10,116.7,114,0.3,0
Jon Ellis,,,2014,Montana State,WR,5.79,175,0,0,4.63,1.56,4.25,6.76,9,36.5,10.6,97.1,108.6,-0.9,0
John Prior,,,2014,Ohio,OT,6.48,302,31.5,10.5,5.34,1.9,4.79,7.87,23,31.5,9.5,89.7,91.6,0,0
Kirby Harris,,,2014,Marietta (OH),WR,6.08,189,0,0,4.58,1.64,4.44,7.17,11,37.5,11.1,98.8,108.5,-0.8,0
Joseph Thomas,,,2014,South Carolina State,IB,6.05,227,0,0,4.7,1.58,4.64,7.45,22,38,9.75,106.6,109.6,-0.3,0
Isaiah Crowell,,,2014,Alabama State,RB,5.92,224,31.75,9.25,4.57,1.55,4.56,7.28,23,38,9.75,115.8,113.8,0.2,0
Derrell Johnson,,,2014,East Carolina,OB,6.12,257,30.38,9.5,4.61,1.59,4.64,7.27,23,32.5,9.5,109.9,111.2,0,0
Shelby Harris,,,2014,Illinois State,DE,6.13,288,34.63,0,4.88,1.68,4.57,7.52,18,31.5,9.17,105.4,111.2,-0.3,0
Ty Zimmerman,,,2014,Kansas State,DS,6.03,205,32.25,9.13,4.59,1.6,4.15,6.95,16,34.5,9.92,114,111.3,0.2,0
Jordan Najvar,,,2014,Baylor,TE,6.48,256,32.25,10,4.86,1.7,4.47,7.14,22,32.5,9.33,105.7,105.4,0,0
Jon Halapio,,,2014,Florida,OG,6.29,323,33.63,10.25,5.34,1.83,4.83,8.26,32,27,8.33,94.8,90.1,0.4,0
William Poehls,,,2014,Montana,OG,6.63,334,0,0,5.38,1.87,4.69,7.88,23,28,8.42,91.2,90.1,0.1,0
Jeremy Baltazar,,,2014,Minnesota,CB,5.88,197,0,0,4.5,1.56,4.37,6.81,27,34,9.92,117.8,110.9,0.7,0
James Owens,,,2014,Florida A&M,RB,5.67,178,0,0,4.47,1.55,4.33,7.34,13,38.5,10.17,107.9,113.6,-0.4,0
Mike DeCaro,,,2014,New Haven,RB,5.72,190,0,0,4.61,1.64,4.2,7.15,10,39,10.08,108.1,113.6,-0.3,0
Deon Rogers,,,2014,Louisville,DS,6.04,197,0,0,4.55,1.61,4.3,7.1,17,36.5,10.25,112.2,111.2,0,0
Trashaun Nixon,,,2014,New Mexico State,OB,6.02,233,31.75,9.63,4.62,1.69,4.61,7.37,24,36,10.08,111.5,112.1,0.1,0
Alex Bayer,,,2014,Bowling Green,TE,6.31,257,31.63,9.75,4.77,1.67,4.42,7.26,20,31.5,9.25,108.1,105.3,0.2,0
Austin Dotson,,,2014,Sacramento State,WR,5.73,180,0,0,4.51,1.54,4.15,6.9,15,35,9.9,110.5,108.2,0.2,0
De'Anthony Thomas,,,2015,Oregon,RB,5.71,174,29.88,8.13,4.39,1.55,4.23,6.94,9,32.5,10.33,99.8,113.5,-0.9,0
Troy Niklas,52,ARI,2015,Notre Dame,TE,6.53,270,34.13,10,4.84,1.69,4.55,7.57,27,32,9.5,112.3,105.2,0.5,0
Chris Pope,,,2014,Valdosta State,OB,6,231,0,0,4.81,1.65,4.43,6.97,25,38,9.42,115.3,111.9,0.3,0
Terrence Brooks,79,BAL,2014,Florida State,DS,5.89,200,31,9,4.42,1.54,4.56,7.01,11,38,10.17,102.8,111,-0.7,0
Justin Perillo,,,2014,Maine,TE,6.24,250,0,0,4.76,1.67,4.36,6.98,19,30.5,9.08,105.7,105,0,0
Jamal Nixon,,,2014,Arkansas Monticello,WR,5.88,212,29.75,8.5,4.56,1.58,4.24,7.09,18,33.5,9.8,114,107.9,0.5,0
Fabrice Pratt,,,2014,Kent State,DS,6.04,184,0,0,4.44,1.53,4.38,7.07,19,37.5,10,113.7,110.8,0.2,0
Shamiel Gary,,,2014,Oklahoma State,DS,5.98,205,31.13,8.88,4.5,1.6,4.35,7.44,22,35.5,10.25,117.9,110.8,0.5,0
Glenn Winston,,,2014,Northwood,RB,6.02,227,0,0,4.69,1.69,4.38,7.3,22,36.5,10.17,115.9,113.1,0.2,0
LT Tuipulotu,,,2014,Utah,DT,6.11,298,0,0,5.07,1.75,4.69,7.63,27,30,8.5,100.8,95.2,0.1,0
Rob Blanchflower,,,2014,Massachusetts,TE,6.33,256,33.75,9.63,4.82,1.72,4.47,7.15,22,32,9.33,106.6,104.8,0.1,0
Ryan Carrethers,,,2014,Arkansas State,DT,6.1,337,31.75,9.38,5.34,1.79,4.6,7.69,34,26,7.33,102.1,85.6,1,0
Doug Peete,,,2014,South Dakota State,DE,6.25,252,32.75,9.38,4.98,1.64,4.32,7.15,19,33.5,9.75,103.5,110.3,-0.4,0
Curtis Feigt,,,2014,West Virginia,OT,6.5,307,34.38,0,5.31,1.83,4.76,8.07,18,27,9.17,80.6,90.8,-0.6,0
Winston Wright,,,2014,South Dakota State,CB,5.72,190,29.63,8.5,4.51,1.51,4.22,7.24,23,33.5,10,116.7,110.4,0.6,0
Andrew Belizaire,,,2014,Rhode Island,OC,6.21,292,0,0,5.18,1.81,4.75,7.84,20,28,8.33,84.7,84.1,-0.2,0
Ian Thompson,,,2014,Lousiana Lafayette,TE,6.34,248,0,0,4.94,1.69,4.28,7.09,22,33,9.33,107.9,104.7,0.2,0
Ted Bolser,,,2014,Indiana,TE,6.47,248,32.38,9,4.71,1.65,4.5,7.15,19,31,9.25,102.5,104.7,-0.2,0
Cody Bauer,,,2014,Rice,DE,6.34,249,32.5,9.38,4.81,1.69,4.4,7.08,24,33,9.67,111.3,110.2,0.1,0
Cameron Blakes,,,2014,Louisiana Monroe,IB,6.05,236,0,0,4.79,1.68,4.48,7.37,22,32,10.25,102.4,108.8,-0.6,0
Jack Doughty,,,2014,Utah State,IB,6.03,227,0,0,4.56,1.65,4.37,7.31,24,33,9.33,117.9,108.8,0.7,0
Corey Nelson,,,2014,Oklahoma,OB,6.03,231,31.38,8.83,4.6,1.61,4.48,7.37,23,33,9.75,111.6,111.4,0.1,0
Henry Conway,,,2014,Michigan State,OT,6.49,316,0,0,5.22,1.88,4.88,7.81,20,30.5,9,92.1,90.7,0.2,0
Gus Handler,,,2014,Colorado,OC,6.23,295,33.5,9,5.23,1.78,4.98,8.22,26,25.5,8.33,82.7,84,-0.4,0
Mark Garrick,,,2014,UNLV,DT,6.19,277,0,0,5.13,1.84,4.53,7.53,26,34.5,8.58,104.3,95,0.4,0
Marqueston Huff,,,2014,Wyoming,DS,5.93,196,31.38,9,4.49,1.54,4.19,7.26,15,35.5,9.83,114.6,110.5,0.2,0
Jay Prosch,,,2014,Auburn,FB,6.07,254,30.25,10,4.72,1.7,4.4,7.33,27,32,9.08,118.1,101.9,0.8,0
John Kanongata'a,,,2014,Montana,OB,5.81,226,0,0,4.8,1.6,4.19,7.02,19,36.5,9.08,115.3,111.3,0.3,0
David Hurd,,,2014,Arkansas,OT,6.47,308,31.63,9.13,5.24,1.8,4.84,8.16,22,28.5,8.5,88.6,90.6,-0.1,0
Beau Blankenship,,,2014,Ohio,RB,5.67,193,28.63,9,4.47,1.63,4.29,7.25,27,37,9.67,126,112.8,0.9,-0.1
Joey DeMartino,,,2014,Utah State,RB,5.92,200,0,0,4.43,1.57,4.31,7.2,17,36,9.58,116.2,112.8,0.2,-0.1
Jordan McCray,,,2014,Central Florida,OG,6.24,322,31,9.88,5.53,1.86,4.93,7.57,33,27.5,8.33,87.4,89.3,-0.2,-0.1
Conrad Scheidt,,,2014,Central Washington,DS,6.01,222,0,0,4.71,1.59,4.26,7.21,25,36,9.75,121.2,110.4,0.7,-0.1
Isaiah Newsome,,,2014,Louisiana Monroe,DS,5.94,203,0,0,4.66,1.63,4.34,7.27,16,37,10.58,107.6,110.4,-0.3,-0.1
Rashard Burkette,,,2014,Tuskegee,DS,5.95,197,31.88,8.75,4.63,1.62,4.35,7.18,19,40.5,10.08,115.5,110.4,0.3,-0.1
Pierce Burton,,,2014,Ole Miss,OT,6.45,303,33.25,9.5,5.25,1.88,4.81,7.53,26,33.5,8.5,99,90.5,0.6,-0.1
Trevor Foy,,,2014,Purdue,OT,6.63,304,0,0,5.26,1.82,4.7,7.86,20,29.5,8.58,88,90.5,-0.1,-0.1
Anthony Dean,,,2014,SW Minnesota State,WR,6.01,200,0,0,4.56,1.67,4.37,7.05,13,36,10.6,104.7,107.5,-0.3,-0.1
Marcus Mathews,,,2014,BYU,WR,6.21,200,0,0,4.52,1.57,4.27,7.05,16,34.5,9.9,110.9,107.5,0.2,-0.1
Larry King,,,2014,Indiana State,DS,6.03,211,0,0,4.58,1.6,4.36,7.02,15,34.5,10.25,106.7,110.3,-0.4,-0.1
Price Holmes,,,2014,Arkansas,DS,6.26,213,0,0,4.75,1.69,4.25,6.85,17,35.5,10.42,108.4,110.3,-0.2,-0.1
Jordan Stanton,,,2014,James Madison,DT,6.31,262,0,0,4.95,1.72,4.7,7.76,18,29,9.58,86.3,94.7,-0.8,-0.1
Mark Joyce,,,2014,South Florida,DS,5.85,190,31.13,9,4.48,1.52,4.25,6.93,14,33,10.08,106.1,110.2,-0.4,-0.1
Brian Fields,,,2014,Western Michigan,RB,5.67,200,0,0,4.65,1.56,4.26,6.7,19,34,9.75,108.9,112.5,-0.3,-0.1
Jermaine Jones,,,2014,Saint Augustine's,WR,6.2,194,0,0,4.45,1.5,4.35,7.47,12,33.5,10.4,103.1,107.3,-0.4,-0.1
Julian Jones,,,2014,Arkansas State,WR,5.89,199,30,10,4.51,1.54,4.5,7.2,7,37.5,10.4,96.7,107.3,-0.9,-0.1
Bryan Stork,,,2014,Florida State,OC,6.31,315,32.25,10.13,5.44,1.81,5.02,7.9,21,26,8.08,76.3,83.5,-0.8,-0.1
Andre Addison,,,2014,Jacksonville,CB,5.8,179,0,0,4.6,1.64,4.22,7.01,15,37,10.5,107.5,109.8,-0.1,-0.1
James Oboh,,,2014,Towson,TE,6.33,250,0,0,4.83,1.68,4.5,7.58,13,36,9.83,99.7,103.9,-0.3,-0.1
