"","year","first_name","last_name","pos","weight","forty_yard","bench_press","vertical_jump","shuttle"
"137",2009,"Maurice","Evans","DE",274,5,17,29,4.57
"138",2009,"Jarron","Gilbert","DE",288,4.81,28,35.5,4.56
"141",2009,"Tim","Jamison","DE",256,5.07,21,30,4.6
"142",2009,"Michael","Johnson","DE",266,4.69,28,38.5,4.37
"143",2009,"Paul","Kruger","DE",263,4.83,24,32.5,4.47
"144",2009,"Orion","Martin","DE",262,4.81,24,32,4.63
"145",2009,"Clay","Matthews","OLB",240,4.62,23,35.5,4.18
"146",2009,"Aaron","Maybin","DE",249,4.78,22,38,4.38
"148",2009,"Kyle","Moore","DE",272,4.81,22,30.5,4.47
"150",2009,"Zach","Potter","DE",279,4.9,20,31,4.48
"151",2009,"Lee","Robinson","OLB",249,4.71,24,32.5,4.67
"152",2009,"Matt","Shaughnessy","DE",266,4.86,24,30.5,4.88
"153",2009,"Lawrence","Sidbury","DE",266,4.53,28,35,4.43
"155",2009,"Stryker","Sulak","DE",251,4.63,22,31,4.58
"156",2009,"David","Veikune","DE",257,4.79,35,33,4.46
"157",2009,"Derek","Walker","DE",268,4.98,24,37.5,4.41
"158",2009,"Brandon","Williams","DE",261,4.96,38,33,4.49
"159",2009,"Jarius","Wynn","DE",275,5.01,19,31.5,4.58
"160",2008,"Cliff","Avril","OLB",253,4.51,27,32.5,4.51
"161",2008,"Kroy","Biermann","OLB",246,4.85,29,31.5,4.56
"162",2008,"Calais","Campbell","DE",290,5.04,16,29.5,4.69
"163",2008,"Joe","Clermond","DE",249,5.15,20,25.5,4.73
"164",2008,"Shawn","Crable","OLB",245,4.61,29,28,4.55
"166",2008,"Bruce","Davis","OLB",252,4.78,19,29,4.47
"168",2008,"Marcus","Dixon","DE",292,5.2,21,26,4.67
"170",2008,"Curtis","Gatewood","OLB",248,4.72,22,28.5,4.22
"171",2008,"Jeremy","Geathers","DE",256,4.96,29,28,4.49
"172",2008,"Vernon","Gholston","DE",266,4.65,37,35.5,4.4
"174",2008,"Quentin","Groves","OLB",259,4.53,30,29.5,4.42
"175",2008,"Gary","Guyton","OLB",245,4.47,15,36.5,4.42
"177",2008,"Derrick","Harvey","DE",271,4.84,31,28.5,4.36
"178",2008,"Erin","Henderson","OLB",244,4.73,23,31,4.5
"180",2008,"Mike","Humpal","OLB",244,4.82,20,31,4.25
"181",2008,"Kenny","Iwebema","DE",274,4.91,26,29,4.75
"182",2008,"Lawrence","Jackson","DE",271,4.82,31,31,4.4
"184",2008,"Jason","Jones","DE",273,4.76,18,25.5,4.32
"185",2008,"Bryan","Kehl","OLB",242,4.67,26,34,4.23
"186",2008,"Kendall","Langford","DE",287,4.95,24,27,4.69
"188",2008,"Bryan","Mattison","DE",290,5.05,26,24.5,4.7
"189",2008,"Chase","Ortiz","DE",249,4.9,24,29.5,4.23
"190",2008,"Dorian","Smith","DE",264,5.06,24,27.5,4.73
"191",2008,"Jeremy","Thompson","DE",264,4.75,25,32,4.23
"194",2007,"CJ","Ah","DE",274,4.7,26,36.5,4.4
"195",2007,"Antwan","Applewhite","DE",250,4.73,25,35,4.36
"197",2007,"Antwan","Barnes","OLB",240,4.43,31,35,4.32
"198",2007,"Dan","Bazuin","DE",266,4.77,25,30,4.75
"199",2007,"Larry","Birdine","DE",261,5.02,21,32,4.76
"200",2007,"Quincy","Black","OLB",240,4.42,24,41.5,4.34
"201",2007,"Stewart","Bradley","OLB",254,4.72,28,35.5,4.17
"202",2007,"Mkristo","Bruce","DE",268,5,21,29,4.8
"204",2007,"Prescott","Burgess","OLB",240,4.82,19,32.5,4.31
"205",2007,"Adam","Carriker","DE",296,4.9,33,33.5,4.18
"206",2007,"Tim","Crowder","DE",272,4.69,32,30.5,4.32
"209",2007,"Justin","Hickman","OLB",254,4.75,23,29.5,4.43
"212",2007,"Jay","Moore","DE",274,4.92,26,34,4.35
"213",2007,"Quentin","Moses","DE",261,4.82,17,32,4.53
"215",2007,"Jay","Richardson","DE",279,5,20,33,4.54
"216",2007,"Brian","Robison","DE",259,4.67,27,40.5,4.26
"217",2007,"Anthony","Spencer","DE",261,4.7,30,32.5,4.43
"218",2007,"Abraham","Wright","DE",242,4.9,24,31,4.46
"219",2006,"Darrell","Adams","DE",277,5,22,27,4.79
"220",2006,"Victor","Adeyanju","DE",274,4.86,22,32,4.41
"221",2006,"Mark","Anderson","DE",254,4.62,20,42,4.24
"222",2006,"Charles","Bennett","DE",258,4.7,19,33.5,4.53
"223",2006,"Copeland","Bryan","DE",253,4.9,16,33,4.31
"225",2006,"Ray","Edwards","DE",273,4.81,30,39,4.59
"226",2006,"Chris","Gocong","DE",263,4.7,28,38.5,4.09
"227",2006,"Chad","Greenway","OLB",242,4.76,16,33.5,4.22
