"","year","first_name","last_name","pos","weight","forty_yard","bench_press","vertical_jump","shuttle","sparq","draft","games","tfls","sacks","production_ratio"
"58",2010,"Sergio","Kindle","OLB",250,4.65,25,36.5,4.53,120.64,"8",27,27.5,16,1.61
"59",2010,"Jammie","Kirlew","DE",260,5.05,26,33,4.74,97.18,"7",24,35,17,2.17
"60",2010,"Brandon","Lang","DE",266,5,20,28.5,4.68,89.07,"8",26,31.5,20,1.98
"61",2010,"Arthur","Moats","OLB",246,4.64,24,36.5,4.37,123.98,"6",25,39,22.5,2.46
"62",2010,"Roddrick","Muckelroy","OLB",246,4.68,19,31,4.39,108.03,"4",26,12.5,2,0.56
"63",2010,"Jason","Pierre-Paul","DE",270,4.71,19,30.5,4.67,103.5,"1",26,25.5,8.5,1.31
"64",2010,"Ricky","Sapp","OLB",252,4.65,23,34,4.41,118.74,"5",24,23.5,7.5,1.29
"65",2010,"George","Selvie","DE",252,4.93,24,30.5,4.63,96.75,"7",25,22.5,8.5,1.24
"66",2010,"Daniel","Te'o-Nesheim","DE",263,4.73,29,37,4.18,136.14,"3",24,24.5,18,1.77
"67",2010,"Lindsey","Witten","DE",250,4.7,23,36.5,4.62,114.17,"8",24,19,16.5,1.48
"68",2010,"Jason","Worilds","OLB",254,4.65,24,38,4.29,130.5,"2",26,29.5,12.5,1.62
"69",2009,"Robert","Ayers","DE",272,4.77,18,29.5,4.51,103.81,"1",26,27.5,7,1.33
"70",2009,"Connor","Barwin","OLB",256,4.59,21,40.5,4.18,138.14,"2",26,14.5,11,0.98
"71",2009,"Everette","Brown","DE",256,4.65,26,31.5,4.53,114.78,"2",26,33,20,2.04
"72",2009,"Victor","Butler","OLB",248,4.76,24,33,4.4,113.14,"4",26,34,22.5,2.17
"73",2009,"Aaron","Curry","OLB",254,4.52,25,37,4.51,128.16,"1",26,29.5,5.5,1.35
"74",2009,"Brian","Cushing","OLB",243,4.64,30,35,4.22,131.13,"1",23,13,4,0.74
"75",2009,"Pannel","Egboh","DE",276,4.9,26,31.5,4.4,114.07,"8",24,18,7.5,1.06
"76",2009,"Larry","English","OLB",255,4.82,24,36,4.38,118.14,"1",25,31.5,18.5,2
"77",2009,"Maurice","Evans","DE",274,5,17,29,4.57,92.22,"8",23,26,15.5,1.8
"78",2009,"Jarron","Gilbert","DE",288,4.81,28,35.5,4.56,123.98,"3",24,29.5,13.5,1.79
"79",2009,"Tim","Jamison","DE",256,5.07,21,30,4.6,89.89,"8",25,20.5,11,1.26
"80",2009,"Paul","Kruger","DE",263,4.83,24,32.5,4.47,111.17,"2",26,24,10.5,1.33
"81",2009,"Orion","Martin","DE",262,4.81,24,32,4.63,106.11,"8",28,23.5,14,1.34
"82",2009,"Clay","Matthews","OLB",240,4.62,23,35.5,4.18,126.72,"1",26,12,4.5,0.63
"83",2009,"Aaron","Maybin","DE",249,4.78,22,38,4.38,119.62,"1",26,24.5,16,1.56
"84",2009,"Zach","Potter","DE",279,4.9,20,31,4.48,105.89,"8",25,21.5,8,1.18
"85",2009,"Stryker","Sulak","DE",251,4.63,22,31,4.58,108.28,"8",28,26.5,16.5,1.54
"86",2009,"David","Veikune","DE",257,4.79,35,33,4.46,122.69,"2",27,25,16,1.52
"87",2009,"Jarius","Wynn","DE",275,5.01,19,31.5,4.58,97.82,"6",26,5,4,0.35
